239.39,238.24,235.67,238.31,241.94,233,232.9,242.81,238,239.61,243.44,234.16,240.16,239.31,236.1,234.77,231.25,227.78,245.36,246.35,235.48,230.37,231.92,230.29
231,222.22,226.24,224.23,231.29,230.45,222.59,235.91,239.83,233.08,229.67,239.33,226.8,236.26,234.28,229.08,224.46,232.68,230.47,215.47,236.92,228.28,231.76,222.92
227.84,212.61,211.84,205.42,211.73,222.88,216.84,208.68,222.1,212.9,208.75,215.64,215.38,211.7,217.72,221.55,212.7,208.32,216.1,212.31,216.12,217.85,206.36,210.26
204.96,200.62,217.15,183.14,210.9,203.89,193.79,209.31,210.22,209.06,210.9,208.33,201.59,221.09,191.91,195.7,201.98,203.27,192.43,194.71,207.78,196.8,217.96,216.51
182.21,192.54,182.32,185.32,183.28,196.91,181.52,187.85,175.23,173.59,183.28,180.36,206.98,173.23,190.19,193.06,182.47,172.76,193.39,189.24,188.2,182.47,185.48,192.52
167.27,169.73,157.22,179.02,169.03,165.56,160.18,165.94,182.99,159.64,167.84,175.62,172.01,168.54,169.13,165.3,166.79,167.37,167.81,170.1,166.26,171.38,161.16,183.65
133.64,162.51,145.05,147.99,151.48,144.5,145.82,151.04,146.46,156.45,135.82,141.14,152.65,157.89,142.43,158.66,153.35,157.89,160.09,161.31,156.09,155.95,153.82,165.8
126.2,121.4,129.42,132.21,133.57,144.53,118.98,129.51,131.84,148.81,143.19,126.82,133.47,146.16,139.49,138.24,126.64,134.16,127.67,131.73,134.75,141.07,126.91,134.84
115.41,109.12,110.89,106.67,110.1,125.58,120.41,110.21,116.83,119.73,116.38,113.82,118.53,122.13,107.79,114.34,132.28,118.02,111.94,118.72,118.16,117.94,114.04,127.79
92.375,92.014,94.511,88.92,96.778,94.758,103.44,108.68,103.84,87.479,99.506,118.88,101.04,93.828,105.89,100.29,93.868,86.472,87.371,97.153,85.9,96.923,106.78,81.436
82.429,68.447,79.525,79.696,79.784,81.414,77.423,90.108,97.461,80.68,85.336,82.464,82.305,80.499,85.59,88.166,82.486,83.791,86.552,74.428,87.836,74.468,72.781,78.638
67.362,74.443,70.596,57.84,64.978,74.244,76.413,64.632,60.429,55.145,61.114,64.052,68.398,63.612,73.714,75.066,71.963,57.009,49.131,59.136,58.791,62.947,67.523,66.023
54.979,58.696,44.56,52.801,63.232,49.463,45.247,61.57,53.498,66.498,61.65,51.699,42.682,50.002,53.48,47.368,44.559,61.023,43.986,57.176,50.072,58.551,56.129,40.691
42.608,43.687,30.824,53.535,39.628,31.152,40.82,30.623,35.03,38.645,58.391,46.619,40.574,44.823,47.161,50.48,33.411,51.887,50.265,30.166,34.164,44.981,30.145,46.997
30.809,33.845,39.091,23.314,23.144,36.483,26.007,49.711,27.178,39.857,51.915,44.786,35.491,27.773,31.246,29.824,39.598,32.272,37.448,36.004,29.917,33.117,35.664,33.884
37.348,26.733,29.322,30.961,29.988,24.845,21.536,22.72,49.179,22.228,21.076,33.572,32.156,29.082,22.864,41.979,22.072,22.316,28.086,17.873,24.524,26.887,21.302,22.823
26.193,29.772,28.3,26.338,16.161,23.498,14.727,17.268,15.618,11.343,18.815,14.563,21.054,23.156,13.957,35.692,22.914,16.672,28.531,11.267,22.189,16.03,24.776,21.403
31.128,16.787,13.287,24.385,16.25,25.62,18.351,20.833,18.277,11.982,16.522,20.771,37.068,16.546,13.806,36.657,18.071,26.716,30.021,14.094,14.759,33.004,25.094,18.889
23.067,16.095,39.088,23.904,33.406,17.404,23.809,20.91,17.489,35.017,26.679,20.542,27.765,22.747,26.686,25.408,18.744,17.162,37.271,25.839,32.31,28.648,10.778,24.312
22.525,22.858,30.774,30.204,18.528,16.434,27.186,22.559,34,35.091,29.481,27.549,17.285,18.48,20.361,25.198,29.052,26.265,23.356,32.926,21.677,19.587,25.684,25.119
39.141,39.132,32.459,37.19,30.56,24.917,25.514,34.693,37.761,34.07,33.152,20.146,42.623,29.457,33.296,30.35,20.876,45.466,34.147,28.995,28.775,24.385,29.461,17.79
53.011,47.04,50.024,44.219,35.474,42.572,34.69,28.602,35.815,43.995,37.017,38.118,54.326,35.76,40.92,29.697,35.667,49.957,31.775,40.485,37.08,37.587,53.669,40.782
58.177,56.554,57.305,38.762,47.737,56.988,53.229,42.557,37.036,48.629,51.103,51.503,37.606,49.793,50.746,59.656,42.723,41.285,48.404,32.965,59.696,42.459,51.47,44.284
62.737,51.135,55.391,70.017,52.246,52.595,54.393,67.011,51.187,70.123,68.654,48.411,61.737,58.747,57.871,67.764,57.79,61.85,56.214,45.544,58.646,62.427,60.705,67.411
72.187,72.788,77.056,60.375,72.782,81.676,72.116,84.764,74.195,74.423,77.053,72.959,72.394,69.65,78.277,70.032,85.753,79.505,86.23,71.812,72.27,75.137,76.242,73.124
78.206,83.761,82.013,100.96,94.591,80.29,86.923,79.905,85.905,92.042,87.546,77.659,79.874,76.364,77.549,86.703,78.23,91.338,83.688,94.035,80.611,88.926,87.59,79.222
99.6,94.125,101.65,97.213,99.062,91.611,85.241,90.363,99.517,100.1,105.98,88.721,97.209,88.627,113.12,100.31,93.525,106.47,100.77,96.657,103.94,107.08,94.463,93.779
110.5,99.938,118.01,105.98,111.12,110.29,120.57,106.05,111.8,111.63,109.47,110.43,116.4,104.96,106.52,107.59,106.76,118.1,106.06,121.53,107.44,113.22,107.09,112.31
118.05,125.35,125.35,113.48,126.49,122.94,123.48,118.97,126.81,121.56,113.2,122.16,126.66,125.31,126.7,124.82,126.18,120.7,122.39,122.45,123.38,123.84,125.2,116.55
131.39,127.7,129.9,134.68,137.22,125.17,126.72,123.39,136.42,119.6,135.56,139.29,138.82,123.05,139.8,143.18,145.39,128.5,142.48,131.88,144.58,133.91,136.51,137.53
137.09,126.16,145.15,139.16,135.6,138.76,142.39,144.78,143.39,142.46,144.63,143.14,151.59,136.93,136.27,145.09,140.6,159.57,140.61,151.74,150.89,136.33,147.24,142.01
156,148.81,150.35,155.06,160.6,163.74,159.32,149.22,165.82,167.18,148.13,151.71,153.35,147.26,153.1,165.3,146.12,142.9,163.37,157.45,154.86,155.73,155.61,144.87
177.19,168.27,161.39,167.99,156.35,167.63,163.22,163.86,158.8,155.78,159.08,155.61,152.55,171.34,157.25,168.51,161.62,170.68,162.42,163.47,174.7,163.72,169.34,158.58
